                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1378,                 3.3181,                 2.2604,                0.59656,                    0.4,                0.35788,                0.15659,                  1.914,                 1.7953,                 2.2888,               0.070246,               0.003306,               0.003306
                      1,                 1.7849,                 1.6252,                 1.8916,                0.78921,                0.46097,                0.51449,                0.22755,                 1.8448,                 1.4372,                 2.2012,               0.039983,              0.0063764,              0.0063764
                      2,                 1.7511,                 1.4459,                 1.8324,                0.44453,                0.43484,                0.41854,                 0.1701,                 2.0277,                 1.9429,                 2.3672,              0.0094561,              0.0091828,              0.0091828
                      3,                 1.7499,                 1.3656,                 1.7985,                0.41294,                 0.4736,                0.43159,                0.19003,                 1.9674,                 1.9156,                 2.3372,               0.008812,               0.008812,               0.008812
                      4,                 1.7215,                 1.2523,                 1.7657,                0.67303,                0.40199,                0.51874,                0.22319,                 1.9308,                 1.3242,                 2.3381,               0.008812,               0.008812,               0.008812
                      5,                 1.7181,                 1.2102,                 1.7514,                0.55167,                0.59101,                0.60011,                0.27257,                 1.7942,                 1.0956,                 2.0649,               0.008416,               0.008416,               0.008416
                      6,                 1.7024,                 1.1836,                 1.7318,                0.51181,                0.59916,                0.60741,                0.28215,                 1.7737,                 1.0953,                 2.0109,                0.00802,                0.00802,                0.00802
                      7,                 1.6807,                 1.1325,                 1.7377,                0.56751,                0.60087,                0.58326,                0.26298,                 1.8064,                  1.184,                 2.0549,               0.007624,               0.007624,               0.007624
                      8,                 1.6728,                 1.0888,                 1.7152,                0.59607,                0.63073,                0.63894,                0.29671,                 1.7705,                0.97708,                 1.9951,               0.007228,               0.007228,               0.007228
                      9,                 1.6653,                 1.0808,                 1.7047,                0.54889,                0.60094,                0.62014,                0.29882,                 1.7299,                 1.0046,                  1.952,               0.006832,               0.006832,               0.006832
                     10,                  1.638,                 1.0434,                 1.7042,                0.60477,                0.61734,                  0.643,                0.30598,                  1.749,                0.96224,                 2.0239,               0.006436,               0.006436,               0.006436
                     11,                 1.6347,                 1.0171,                 1.6743,                0.59067,                0.64302,                0.63417,                0.30978,                 1.7235,                0.91939,                 1.9637,                0.00604,                0.00604,                0.00604
                     12,                 1.6162,                 1.0062,                 1.6663,                0.61692,                 0.6364,                0.65648,                0.31604,                 1.7439,                0.91781,                 1.9881,               0.005644,               0.005644,               0.005644
                     13,                 1.5939,                0.97436,                 1.6624,                0.60205,                 0.6389,                0.63276,                0.31934,                 1.7025,                0.91078,                 1.9235,               0.005248,               0.005248,               0.005248
                     14,                 1.5891,                0.95831,                 1.6428,                0.62596,                0.63956,                0.64965,                0.32239,                 1.7074,                0.89518,                 1.9416,               0.004852,               0.004852,               0.004852
                     15,                 1.6501,                0.86162,                 1.7662,                0.58702,                0.64231,                0.63317,                0.29608,                 1.8057,                0.94058,                 2.0112,               0.004456,               0.004456,               0.004456
                     16,                 1.6387,                0.84698,                 1.7335,                0.60998,                0.67193,                0.65264,                0.32656,                 1.7049,                0.87836,                 1.9126,                0.00406,                0.00406,                0.00406
                     17,                 1.6177,                0.81952,                 1.7324,                0.62384,                0.68805,                0.66739,                0.33344,                 1.6895,                0.84466,                 1.9277,               0.003664,               0.003664,               0.003664
                     18,                 1.5904,                0.81596,                 1.7194,                0.64457,                0.67797,                0.66953,                0.34089,                 1.6694,                0.85044,                 1.8915,               0.003268,               0.003268,               0.003268
                     19,                 1.5876,                0.78205,                 1.7167,                0.63661,                0.66974,                0.67426,                 0.3416,                  1.664,                 0.8049,                 1.8704,               0.002872,               0.002872,               0.002872
                     20,                 1.5632,                 0.7649,                 1.6923,                0.64564,                0.69578,                0.68195,                0.34141,                  1.688,                 0.8087,                 1.9057,               0.002476,               0.002476,               0.002476
                     21,                 1.5676,                0.74973,                 1.7001,                0.62709,                0.70898,                 0.6845,                0.33982,                 1.6934,                0.79125,                 1.9008,                0.00208,                0.00208,                0.00208
                     22,                 1.5337,                0.73293,                 1.6718,                0.63857,                0.68628,                0.67629,                0.34859,                 1.6503,                0.77956,                  1.855,               0.001684,               0.001684,               0.001684
                     23,                  1.511,                0.71515,                 1.6476,                0.63218,                0.68087,                0.66922,                0.34741,                 1.6715,                 0.7896,                 1.8606,               0.001288,               0.001288,               0.001288
                     24,                 1.5069,                0.69887,                  1.641,                0.65402,                0.68325,                0.68693,                0.35021,                 1.6715,                 0.7474,                 1.8812,               0.000892,               0.000892,               0.000892
